,count,mean,std,min,25%,50%,75%,max
bucket_1,1493.0,101.90756865371735,32.49810516722365,58.0,76.0,93.0,119.0,242.0
bucket_2,1493.0,84.30006697923643,16.96802642934761,54.0,71.0,80.0,94.0,166.0
bucket_3,1493.0,83.79973208305425,22.579842250724045,0.0,70.0,78.0,90.0,183.0
bucket_4,1493.0,53.78499665103818,33.45894991939277,0.0,31.0,62.0,77.0,130.0
bucket_5,1493.0,1.9645010046885465,7.446733029355106,0.0,0.0,0.0,0.0,55.0
