,count,mean,std,min,25%,50%,75%,max
content_score_0,1493.0,2.2116543871399865,4.193630847778833,0.0,0.0,1.0,3.0,130.0
content_score_1,1493.0,4.96584058941728,6.044587339590563,0.0,2.0,3.0,6.0,92.0
content_score_2,1493.0,28.298727394507704,12.18871845719309,6.0,20.0,26.0,34.0,188.0
content_score_3,1493.0,62.09511051574012,18.80973049598563,16.0,48.0,61.0,74.0,133.0
content_score_4,1493.0,48.82987273945077,18.639999720897368,10.0,35.0,47.0,59.0,143.0
content_score_5,1493.0,180.3556597454789,32.47715370097658,54.0,158.0,183.0,206.0,248.0
