dataset,count,mean,std,min,25%,50%,75%,max
Alpaca,163173.0,6.904739141892347,3.1007159095049652,0.0,5.0,8.0,9.0,10.0
GSM8K,163386.0,5.586843425997332,3.9421050281925054,0.0,2.0,6.0,10.0,10.0
MMLU,161289.0,4.86347488049402,3.533042596827901,0.0,2.0,5.0,8.0,10.0
